Polarity,Text
negative,اللي سمعته وقريته انه يشرب بنزين وعزمه ميت.
neutral,مازدا 6 مكينة سكاي اكتف اقتصادية بالبنزين لكن يعيبها ضيق الكراسي الخلفية.
negative,الكوري سوناتا وابتما صرفيتهم بالنسبه للبقيه مرتفعة لكن انتظر الموديلات القادمة من الكوري اكيد بيكون في تعديل بالقير وصرفية الوقود.
positive,مازدا 6 افضل ياباني واقتصادية وشوف انتشارها ممكن تتاخر من الوكيل في التسليم ولكن هي الافضل.
positive,التشارجر ملفتة للنظر، شبابية وجميلة، بالإضافة لحماس ومتعة القيادة.
positive,كان معي النترا 2013 بصراحه مكيفها جبار في كل الأحوال.
negative,الان معي سوناتا 16 مكيفها للأمانة مايجي ربع الالنترا اللي كانت معي.
negative,معي سوناتا 17 ماش مكيفها.
negative,و الله اساساً كل الكوري مكيفاته تعبانة لا ينفع وياها منتج و لا مراوح.
positive,التيما مكيف ثلج ما شاء الله و الصرفية ممتازة.
positive,سوناتا 2017 مكيفها بارد واخويائي معهم سانتافي وسوناتات و النترات كلها مكيفاتهم باردة.
negative,انا عندي جينيسس 2014 من يوم أخذتها وكالة ومكيفها بالظهر (بالوقوف فقط) تعبان صراحه ما يتقارن مع الياباني و الامريكي مثلاً.
positive,انا مره كنت راكب مع واحد معاه النترا بالظهر وعند الاشارات صراحه ممتاز مكيفها وموديلها 2013.
negative,انا استأجرت سوناتا و كانت ماشيه 80 الف كم مكيفها أول ما شغلته كان بارد و لكن بعد مسافة فصل وأصبح حار و خاصة مع  الوقوف.
positive,بتجربتي للسيارات ما مرعلي مثل مكيفات سيارات نيسان في قوة التبريد، في عز الظهرية ثلج ما شاء الله.
positive,اما اللكزس جربته، صراحه مهما تجلدينه وتقولين اخرب ما يخرب.
positive,شوفي سيارات انفنيتي راقية وسعرها معقول.
negative,الناس أكلوا مقلب في الكامري العادية قالو اللتر يمشي 18 كيلو لكن حسب التجارب الكل متفق على انه يمشي فقط 12 كيلو.
positive,الصني كان عندنا 2010 و الحرارة على الربع ما تنزل و لا ترتفع.
neutral,من ناحية الكرف ورخص القطع فاكيد النيسان بس لا تدور فيه راحه. 
positive,بالنسبة للاوبتيما سيارة عملية وممتازة ومريحة. 
positive,الاوبتيما و اللي مثلها اريح وأنسب للخط و تحميل الركاب.
neutral,استأجرت درانجو 2015 ثمانيه سلندر عزم و صرفية زي الحلاوة بس الوكيل العيب الوحيد حاليا في الدودج.          
positive,التاهو سيارة عملية جداً وقليلة الأعطال مثل الماركيز.
negative,المرسيدس ال سي مره صغير بتكره حياتك وتطفش منه.
negative,مرسيدس ضيق وعزمه يفقع المرارة و ممل مع تيربو.
neutral,الميتسوبيشي بوجة عام موتر ياباني ياباني لك و للزمن لكن حط في بالك صرفية البنزين وقلة المواصفات و الراحه موتر كد ومكده.
positive,السيارة تكد وكفو.
positive,عزم وقوة ممتازة.
positive,السيارة حمار مكده وكرف.
positive,سعر مناسب جداً مقارنة بالوانيتات الثانية.
positive,الداخلية واسعة وهي الأوسع في الوانيتات.
positive,قطع الغيار موب مثل المنتشر بين الناس انها غالية ونادرة بالعكس متوفرة عند الوكيل و السعر جيد.
negative,الصندوق صغير (في الغمارتين) خصوصاً الخليجي.
negative,صرفية البنزين عالية شوي.
negative,قلة المواصفات (خصوصاً في الخليجي).
positive,سيارة كفو وعملية وكرف ما تقول شيء.
positive,ويتميز الصندوق بمواصير على الاطراف لربط الحبال من اي مكان تبغى عكس الونيتات الثانية.
positive,مكاينها نفس مكاين مديلات القديمة يعني فيها من قوة القديم.
neutral,"السيارة كإستخدام شخصي ما تصلح لك أبدا بالرغم من أنها سيارة لا يعلى عليها في المتانة وجوده التصنيع و العمر الافتراضي الطويل ولكن استهلاكها للبنزين عالي, السيارة مطبها قاسي جدا, مراتبها غير مريحة أبدا, السيارة ياعزيزي باختصار مصنوعة للشقاء, خذها على يمناك للاعمال الشاقة وللرحلات البريه او الجبليه وتتفوق على مثيلاتها بمراحل من هالناحية."
neutral,"قطع غيارها بالنسبه للاكسسوار غالية, لقيت الاصطب الخفلي الايسر ب850 ريال بعد الخصم !! اما الأمور الاستهلاكيه للأمانة ما قد غيرت فيها شي غير الفحمات واتوقع شريت نوع ياباني وسعره معقول الاصلي تايلندي وسعره على ما اذكر غالي شوي."
positive,سعر معقول للي محتاج موتر للتحميل و الكرف.
positive,"لو اني مكانك وبشتري سيارة بيك اب ابشتري سيارة ديزل، الديماكس او هايلوكس ديزل وغيرها, الديزل توفير وعزم و رخيص ويمشيك أكثر من البنزين."
positive,موتر قوي جبار واقتصادي انصحك فيه.
neutral,"السيارة عملية وقطعها متوفرة و لا اشتكوا منها من هالناحية, لكن يعيبها قلة المواصفات مقابل ارتفاع سعرها نوعا ما, كذلك الداخلية و الشكل الخارجي الحالي ما هو ذاك الزود صراحه, خصوصا ان السنة الجاية بيتغير شكل الراف فور بيكون أجمل من الشكل الحالي, فأحس إنها غبنة توك تطلع سيارة جديدة و السنة الجاية يتغير شكلها ولو بغيت تبيع سيارتك بيطيح سعرها كثير."
negative,لا تدور راحه وأمان ورساوة بالفورتنشر.
positive,الفورتنشر سيارة بر قاسي يتحمل قليل أعطال ال 6 سلندر عزمه ممتاز.
negative,تراه يصرف بنزين اذا ما تحتاج دبل ثقيل و موتر بر مرتفع.
neutral,من ناحية الراحه يجلس يناقز ومراتبه قاسية بس عزمه ممتاز لو كان 6 سلندر.
neutral,"و الله سيارة يعتمد عليها من جميع النواحي وتعيش معك زمن طويل بالمحافظة عليها, بس متعب حبتين لكن اكيد بتتعود بعد فترة بسيطة و لا راح تندم إن شاء الله."
neutral,"سيارة حلوة وعملية بس يصرف بنزين و لا نفع معاه 91 و لا 95 كله يصرف سواء 6 سرندل او 0,4"
negative,كان معي 12 اربعة سلندر يصرف بنزين بشكل خيالي وقلق في المطبات بشكل فظيع وبعته ولله الحمد.
positive,باثفندر عند زميلي بالعمل 2010 فل وربي ممتازة ومريحة سقتها مره وحقيقه عجبتني قطع نيسان غالية ولكن تستاهل.
neutral,"الباثفندر قوي وجبار بس صرفيته العيب الوحيد فيه, بالنسبه للمواتر دي الجيوب تصرف بنزين ويعتبر الجمس أحسن منهم."
neutral,الباث خفيف وعزمه ممتاز وبالاخير كلها مواتر طيبة لكن الجمس افضل بالنسبه لي اذا فيه موتر ثاني للمدينه.
positive,الباثفندر سيارة امريكيه بمحركات يابانيه جمعت راحه الامريكي مع قوة الياباني.
negative,"اشتريت اودي A6 2018 امبيشن من الوكالة قبل 4 شهور ولكن لاحظت وجود أصوات بسيطة حبيت استفسر من مالكي السيارة اذا واجهو نفس المشكلة او لا, مع العلم ان السيارة لسى ماكملت 15 الف ممشى."
positive,أشوف ان الانوفا ممتازة وهي الدارجة بين السواقين و الان أسعارهن نازلات موديل 2008-2012 اتوقع انه الخيار المناسب.  
positive,"كيا كرنفال مناسبة جدا, سهولة حمل عفش ومريحة للركاب واقتصادية بنفس الوقت."
positive,خذ كورو لا 2011 نظيف قير اوتوماتيك تخدم معك و لا تصرف بنزين وصيانتها سهلة وسواقتها سهلة.
positive,صرفية البنزين تعتبر مناسبة جدا.
positive,مكينتها قوية وتعطيك العزم المناسب و المطلوب.
positive,طريقة تصنيعها وتركيبها بسيطة ما فيها تكلف وضخامة وثقل وكذا.
positive,"الدركسون خفيف, ومع المشي ومسكت خط يثقل شوي نوع من الثبات."
positive,النور العالي ممتاز.
positive,فراملها لا بأس وخاصة مع نظام ايه بي اس.
positive,مكيف مضبوط وبارد رغم اني اشغله و السيارة تمشي.
neutral,"فيها ثبات معقول يعني اذا انت انسان سواقتك عاقله, ثبات الالنترا يعجبك مو على اسمها لكن اذا انت متهور, لا في ذمتي ما يخارج معك ثبات الالنترا مره."
positive,"فيها سهولة قيادة غير عن الموديل اللي قبله, يعني طريقة المقعدة مع الدركسون صارت افضل, مدري اش الفرق لكن الاحظ الشكل الجيد افضل اثناء القيادة."
positive,"ما تعرف الصناعية, تبي بنزين و زيت فقط."
positive,فيها حساسات خلفية وأشوفها مفيدة جدا وبلوتوث يعني فيها الاشياء الأساسية.
negative,"حديدها ضعيف, و الله يستر من الحوادث."
neutral,"العزل الأرضي كويس بس ما هو المطلوب, لكن كويس لان ما هي لكزس او يخت هي النترا بالأول و الأخير."
neutral,"احيانا المكيف بالظهر ما يعطيك البرودة المناسبة, واحيانا تثلج من قوة التبريد."
neutral,"اذا انت مسافر و الهواء قوي جدا, بتحس السيارة تلعب, لكن اذا الاجواء مستقرة, السيارة ثابتة حتى لو توصل 200, رغم ان السرعة تؤدي لوفاة او اعاقة حمانا الله واياكم."
positive,"الالنترا 2000 سي سي اللي فيها الاشياء الاساسية حساسات وبلوتوث وايرباقات وكذا روعة, انا حبيتها, وما اتوقع بابيعها او افرط فيها."
negative,"لا تتوقع انها ملفتة للانظار, لان بعض الناس يشتري عشان يكشخ, احب اعلمك من البداية, الالنترا مثلك مثل واحد راكب سيكل."
positive,السيارة كشكل وتصميم حلو لدرجة الاكنست الجديدة تشبه لها. 
negative,انها سيارة بسيطة سواءً هي او اللي في فئتها مستحيل تكون ملفتة للانظار.
positive,الالنترا دخلت الأسوأق عشان تنافس الكورو لا وغيرها وفعلا نجحت ومبروك السيارة.
positive,احافظ تعيش سنين ان شاء الله وما تكلفني شي لو بصينها عقب كم سنة من الاستخدام وصبورة وخفيفة نفس وما بخاف عليها.
neutral,النترا بطلة الا بموضوع المكيف وهذا عيب الكوري.
positive,تصميمها جميل خصوصآ الفل جنوط و الالوان كلها جميلة عليها.
positive,النترا أثبتت انها سيارة عملية جدا.
neutral,صحيح انها تفتقر للقليل من الراحه بس يشفع لها صبرها وخدمتها.
positive,الموديل الجديد تحسن فيه الشكل و الحديد المستخدم فيها صار أمتن واخف وزن.
positive,المكيف تبريده جميل وقوي خاصة للمكينة الكبيرة في الليل اضطر اني أقلل برودة الفريون.
positive,مكينتها ما تغيرت من 2012 ومع ذالك موفرة للوقود القير تحسن عن السابق وصار سلس جدأ مع 6 نمرات.
positive,سيارة عملية جدا وأثبتت وجودها.
positive,انا اشتريت كادينزا 2012 فل ماشيه 165 الف وكنت متخوف من ممشاها لكن يشهد الله انها عز عزل ورساوة وعزم اذا نظيفة توكل على الله سيارة تستاهل.
neutral,افضل لك من السوناتا بكثير بس ترا صرفيتها للبنزين لك عليها شوي.
positive,"السيارة هذه أثبتت نفسها وبقوة, كرف وخطوط وقوة."
positive,كامري او كورو لا سيارات خدمة وصيانة سهلة وقطع متوفرة.
positive,الافضل الهايلوكس منتشرة وقطع وصيانة في كل مكان ، وسيارة تجملك في أي مكان ، واذا فكرت تبيع سوقها ماشي وترجع لك قيمة مرضية.
positive,كيا تطورت كثير وقطعها أصبحت منتشرة وحتى لو ما حصلت شف قبيلها من هونداي وخذها لانها شركه وحده وتركب القطع بالتمام.
negative,لا أسعار مغرية و لا شيء منافس يميزةا عن السيارات الأخرى.
neutral,البيجو كمواصفات تعتبر افضل من بعض السيارات المنتشرة هنا لكن عيبها أن وكيلها سيء وما يعمل إعلانات ودعاية وينشرها وفوق كذا وكيل واحد محتكرها أركب بيجو 508 ستاندر وقارنها بالكامري ومثيلاتها وتعرف الفرق.
positive,من ناحية الهيبة و الشكل و المناسب للشوارع السييرا.
positive,تهمك الراحه الجنسس افضل بدون شك.
positive,أرشح لك كروس أوفر فخم.
negative,الرنجر أغلب القطع غير موجوده إلا عند الوكيل وصيانة مكلفة.
positive,جنيسس افضل راحه وقوة.
positive,السييرا الحين شكل شبابي وكشخة.
positive,مازدا و الاكورد اقتصادية وحجم.
