text,label
هذا المنتج ممتاز جدا,positive
الخدمة كانت سيئة للغاية,negative
جيد جدا,positive
لا بأس,neutral
أحب هذا التطبيق,positive
لا يعجبني,negative
رائع جدا,positive
مشكلة كبيرة,negative
شكرا,positive
فاشل,negative
جيد نوعا ما,neutral
ممتاز,positive
سعر غالي,negative
سرعة ممتازة,positive
بطيء جدا,negative
this is amazing,positive
very bad experience,negative
I love it,positive
terrible service,negative
not bad,neutral
excellent work,positive
hate this,negative
wonderful day,positive
what a disaster,negative
good job,positive
bad quality,negative
الخدمة رائعة,positive
تطبيق مفيد,positive
مضيعة للوقت,negative
سعر معقول,neutral
